ID,类型,SKU,名称,已发布,是推荐产品,在列表页可见,简短描述,描述,促销开始日期,促销截止日期,税状态,税类,有货,库存,库存不足,允许缺货下单,单独出售,重量(kg),长度(cm),宽度(cm),高度(cm),允许客户评价,购物备注,促销价格,常规售价,分类,标签,运费类,图片,下载限制,下载的过期天数,父级,分组产品,交叉销售,交叉销售,外部链接,按钮文本,位置,属性1名称,属性1值,属性1可见,属性1全局,属性2名称,属性2值,属性2可见,属性2全局,属性3名称,属性3值,属性3可见,属性3全局,属性4名称,属性4值,属性4可见,属性4全局,属性5名称,属性5值,属性5可见,属性5全局,属性6名称,属性6值,属性6可见,属性6全局
56366,variable,591982894109,Sterling Silver Necklace Crescent Moon Pendant,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Necklace,,,"https://zecodo.com/wp-content/uploads/2022/12/O1CN01DlH1uR1ouZvdkQScC_3967795285-0-cib.jpg, https://zecodo.com/wp-content/uploads/2022/12/O1CN01ksfLwr1ouZvWkMpRq_3967795285-0-cib.jpg, https://zecodo.com/wp-content/uploads/2022/12/O1CN01DnI5cD1ouZvWkMpQE_3967795285-0-cib.jpg, https://zecodo.com/wp-content/uploads/2022/12/O1CN01Qe6cnT1ouZvoCuPTe_3967795285-0-cib.jpg, https://zecodo.com/wp-content/uploads/2022/12/10835113396_480399264.jpg",,,,,,,,,0,Color,Gold,1,0,,,,,Material,Silver,1,0,Technology,Electroplate,1,0,,,,,,,,
56455,variation,591982894109-1,Sterling Silver Necklace Crescent Moon Pendant - Gold,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,39,,,,https://zecodo.com/wp-content/uploads/2022/12/O1CN01DlH1uR1ouZvdkQScC_3967795285-0-cib.jpg,,,591982894109,,,,,,1,Color,Gold,,0,,,,,,,,,,,,,,,,,,,,
56322,variable,592129966854,Sterling Silver Necklace Queen Elizabeth 6 Pence Coin Pendant,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Necklace,,,"https://zecodo.com/wp-content/uploads/2022/12/O1CN01QSGDhN1ouZvkYx84k_3967795285-0-cib.jpg, https://zecodo.com/wp-content/uploads/2022/12/O1CN01tOKnyk1ouZvfvHiPu_3967795285-0-cib.jpg, https://zecodo.com/wp-content/uploads/2022/12/O1CN01InFKRc1ouZvgYkIek_3967795285-0-cib.jpg, https://zecodo.com/wp-content/uploads/2022/12/O1CN01P922ed1ouZvmU5C7u_3967795285-0-cib.jpg, https://zecodo.com/wp-content/uploads/2022/12/10805001653_480399264.jpg",,,,,,,,,0,Color,Gold,1,0,,,,,Material,Silver,1,0,Technology,Electroplate,1,0,,,,,,,,
56407,variation,592129966854-1,Sterling Silver Necklace Queen Elizabeth 6 Pence Coin Pendant - Gold,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,48,,,,https://zecodo.com/wp-content/uploads/2022/12/O1CN01QSGDhN1ouZvkYx84k_3967795285-0-cib.jpg,,,592129966854,,,,,,1,Color,Gold,,0,,,,,,,,,,,,,,,,,,,,
40269,variable,592154051969,Sterling Silver Necklace Devil's Eye Coin Pendant,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Necklace,,,"https://zecodo.com/wp-content/uploads/2022/12/O1CN01Ism1eR1ouZvmUFWzL_3967795285-0-cib.jpg, https://zecodo.com/wp-content/uploads/2022/12/O1CN01Uk1Uqn1ouZvj3YmMS_3967795285-0-cib.jpg, https://zecodo.com/wp-content/uploads/2022/12/O1CN01JG7hQt1ouZvWkaexH_3967795285-0-cib.jpg, https://zecodo.com/wp-content/uploads/2022/12/O1CN01xhI7fh1ouZvfvR33P_3967795285-0-cib.jpg, https://zecodo.com/wp-content/uploads/2022/12/10835089421_480399264.jpg",,,,,,,,,0,Color,Gold,1,0,,,,,Material,Silver,1,0,Technology,Electroplate,1,0,,,,,,,,
40341,variation,592154051969-1,Sterling Silver Necklace Devil's Eye Coin Pendant - Gold,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,60,,,,https://zecodo.com/wp-content/uploads/2022/12/O1CN01Ism1eR1ouZvmUFWzL_3967795285-0-cib.jpg,,,592154051969,,,,,,1,Color,Gold,,0,,,,,,,,,,,,,,,,,,,,
39727,variable,599677193863,Sterling Silver Coin Pendant Garnet Inlaid,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Necklace > Pendant,,,"https://zecodo.com/wp-content/uploads/2022/12/15536928428_1210089348.jpg, https://zecodo.com/wp-content/uploads/2022/12/11589007314_1210089348.jpg, https://zecodo.com/wp-content/uploads/2022/12/11620727289_1210089348.jpg, https://zecodo.com/wp-content/uploads/2022/12/15528801387_1210089348.jpg, https://zecodo.com/wp-content/uploads/2022/12/23655971727_1210089348.jpg, https://zecodo.com/wp-content/uploads/2022/12/11588995602_1210089348.jpg",,,,,,,,,0,Color,Gold,1,0,,,,,Material,Silver,1,0,Technology,Gem Inlaid,1,0,,,,,,,,
39811,variation,599677193863-1,Sterling Silver Coin Pendant Garnet Inlaid - Gold,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,65,,,,https://zecodo.com/wp-content/uploads/2022/12/11588995602_1210089348.jpg,,,599677193863,,,,,,1,Color,Gold,,0,,,,,,,,,,,,,,,,,,,,
56382,variable,599897220105,Sterling Silver Necklace Uneven Surface Coin Pendant 2 Holes,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Necklace,,,"https://zecodo.com/wp-content/uploads/2022/12/O1CN01d1Egko1ouZvgYuEVE_3967795285-0-cib.jpg, https://zecodo.com/wp-content/uploads/2022/12/O1CN01RTvWqj1ouZvfvO1kc_3967795285-0-cib.jpg, https://zecodo.com/wp-content/uploads/2022/12/O1CN01x5TVGT1ouZvmUCupb_3967795285-0-cib.jpg, https://zecodo.com/wp-content/uploads/2022/12/O1CN01eCwC3m1ouZvkZ5zVw_3967795285-0-cib.jpg, https://zecodo.com/wp-content/uploads/2022/12/11637958805_480399264.jpg",,,,,,,,,0,Color,Gold,1,0,,,,,Material,Silver,1,0,Technology,Electroplate,1,0,,,,,,,,
56477,variation,599897220105-1,Sterling Silver Necklace Uneven Surface Coin Pendant 2 Holes - Gold,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,23,,,,https://zecodo.com/wp-content/uploads/2022/12/O1CN01d1Egko1ouZvgYuEVE_3967795285-0-cib.jpg,,,599897220105,,,,,,1,Color,Gold,,0,,,,,,,,,,,,,,,,,,,,
