ID,类型,SKU,名称,已发布,是推荐产品,在列表页可见,简短描述,描述,促销开始日期,促销截止日期,税状态,税类,有货,库存,库存不足,允许缺货下单,单独出售,重量(kg),长度(cm),宽度(cm),高度(cm),允许客户评价,购物备注,促销价格,常规售价,分类,标签,运费类,图片,下载限制,下载的过期天数,父级,分组产品,交叉销售,交叉销售,外部链接,按钮文本,位置,属性1名称,属性1值,属性1可见,属性1全局,属性2名称,属性2值,属性2可见,属性2全局,属性3名称,属性3值,属性3可见,属性3全局,属性4名称,属性4值,属性4可见,属性4全局,属性5名称,属性5值,属性5可见,属性5全局,属性6名称,属性6值,属性6可见,属性6全局
55405,variation,631065513658-4,Tailian 钱包男士商务真皮短款多卡位横款跨境男钱包批发 配礼盒 - 深红色,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,21,,,,https://zecodo.com/wp-content/uploads/2022/12/22583765748_2138798795.jpg,,,631065513658,,,,,,1,Color,深红色,,0,brand,,,0,,,,,,,,,,,,,,,,
55388,variable,631613198173,Tailian真皮男士钱包商务经典短款多卡位钱夹拉链袋牛皮钱包男new,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,男士包包 > 男士钱包,,,"https://zecodo.com/wp-content/uploads/2022/12/22493077462_2138798795.jpg, https://zecodo.com/wp-content/uploads/2022/12/O1CN018HcXfx1ZXw8pRTGw7_4028443205-0-cib.jpg, https://zecodo.com/wp-content/uploads/2022/12/O1CN01aKyFIb1ZXw3x0BPL9_4028443205-0-cib.jpg, https://zecodo.com/wp-content/uploads/2022/12/22493089279_2138798795.jpg, https://zecodo.com/wp-content/uploads/2022/12/22584134724_2138798795.jpg, https://zecodo.com/wp-content/uploads/2022/12/22410207806_2138798795.jpg, https://zecodo.com/wp-content/uploads/2022/12/22584131812_2138798795.jpg, https://zecodo.com/wp-content/uploads/2022/12/22410231057_2138798795.jpg, https://zecodo.com/wp-content/uploads/2022/12/22493065597_2138798795.jpg",,,,,,,,,0,Color,"黑色, 浅啡色, 深啡色, 深红色",1,0,brand,泰莉安,1,0,technology,,1,0,material,牛皮,1,0,style,商务,1,0,,,,
55447,variation,631613198173-1,Tailian真皮男士钱包商务经典短款多卡位钱夹拉链袋牛皮钱包男new - 黑色,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,21,,,,https://zecodo.com/wp-content/uploads/2022/12/22584131812_2138798795.jpg,,,631613198173,,,,,,1,Color,黑色,,0,brand,,,0,,,,,,,,,,,,,,,,
55448,variation,631613198173-2,Tailian真皮男士钱包商务经典短款多卡位钱夹拉链袋牛皮钱包男new - 浅啡色,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,21,,,,https://zecodo.com/wp-content/uploads/2022/12/22410231057_2138798795.jpg,,,631613198173,,,,,,1,Color,浅啡色,,0,brand,,,0,,,,,,,,,,,,,,,,
55449,variation,631613198173-3,Tailian真皮男士钱包商务经典短款多卡位钱夹拉链袋牛皮钱包男new - 深啡色,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,21,,,,https://zecodo.com/wp-content/uploads/2022/12/22493065597_2138798795.jpg,,,631613198173,,,,,,1,Color,深啡色,,0,brand,,,0,,,,,,,,,,,,,,,,
55450,variation,631613198173-4,Tailian真皮男士钱包商务经典短款多卡位钱夹拉链袋牛皮钱包男new - 深红色,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,21,,,,https://zecodo.com/wp-content/uploads/2022/12/22410207806_2138798795.jpg,,,631613198173,,,,,,1,Color,深红色,,0,brand,,,0,,,,,,,,,,,,,,,,
54688,variable,632255686275,工厂直供2021新款潮流方块背包usb充电双肩包学生书包电脑包批发,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,男士包包 > 男士背包,,,"https://zecodo.com/wp-content/uploads/2022/12/11918499346_515527218.jpg, https://zecodo.com/wp-content/uploads/2022/12/11988575110_515527218.jpg, https://zecodo.com/wp-content/uploads/2022/12/11918496456_515527218.jpg, https://zecodo.com/wp-content/uploads/2022/12/11988548676_515527218.jpg, https://zecodo.com/wp-content/uploads/2022/12/11918481908_515527218.jpg, https://zecodo.com/wp-content/uploads/2022/12/11988602170_515527218.jpg",,,,,,,,,0,Color,灰色-15.6寸,1,0,brand,WinKing/威王,1,0,technology,,1,0,material,涤纶,1,0,style,都市简约,1,0,,,,
54763,variation,632255686275-1,工厂直供2021新款潮流方块背包usb充电双肩包学生书包电脑包批发 - 灰色-15.6寸,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,101,,,,https://zecodo.com/wp-content/uploads/2022/12/11918499346_515527218.jpg,,,632255686275,,,,,,1,Color,灰色-15.6寸,,0,brand,,,0,,,,,,,,,,,,,,,,
54687,variable,632393658223,威王新款背包潮流简约轻薄双肩包男士收纳创意双肩包中大学生书包,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,男士包包 > 男士背包,,,"https://zecodo.com/wp-content/uploads/2022/12/12382469595_515527218.jpg, https://zecodo.com/wp-content/uploads/2022/12/12345847231_515527218.jpg, https://zecodo.com/wp-content/uploads/2022/12/12345853007_515527218.jpg, https://zecodo.com/wp-content/uploads/2022/12/12309555375_515527218.jpg, https://zecodo.com/wp-content/uploads/2022/12/12309585922_515527218.jpg, https://zecodo.com/wp-content/uploads/2022/12/12345844847_515527218.jpg",,,,,,,,,0,Color,"浅灰色-15.6寸, 深灰色-15.6寸",1,0,brand,WinKing/威王,1,0,technology,,1,0,material,涤纶,1,0,style,潮酷风范,1,0,,,,
54755,variation,632393658223-1,威王新款背包潮流简约轻薄双肩包男士收纳创意双肩包中大学生书包 - 浅灰色-15.6寸,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,59,,,,https://zecodo.com/wp-content/uploads/2022/12/12382469595_515527218.jpg,,,632393658223,,,,,,1,Color,浅灰色-15.6寸,,0,brand,,,0,,,,,,,,,,,,,,,,
