ID,类型,SKU,名称,已发布,是推荐产品,在列表页可见,简短描述,描述,促销开始日期,促销截止日期,税状态,税类,有货,库存,库存不足,允许缺货下单,单独出售,重量(kg),长度(cm),宽度(cm),高度(cm),允许客户评价,购物备注,促销价格,常规售价,分类,标签,运费类,图片,下载限制,下载的过期天数,父级,分组产品,交叉销售,交叉销售,外部链接,按钮文本,位置,属性1名称,属性1值,属性1可见,属性1全局,属性2名称,属性2值,属性2可见,属性2全局,属性3名称,属性3值,属性3可见,属性3全局,属性4名称,属性4值,属性4可见,属性4全局,属性5名称,属性5值,属性5可见,属性5全局,属性6名称,属性6值,属性6可见,属性6全局
42872,variation,630930902254-2,Sterling Silver Slider Bracelet Prong Base Zirconia Inlaid - Silver 3,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,68,,,,https://zecodo.com/wp-content/uploads/2022/12/O1CN01y8cCx01ouZtTsFuu8_3967795285-0-cib.jpg,,,630930902254,,,,,,1,Color,Silver,,0,Size,3,,0,,,,,,,,,,,,,,,,
42873,variation,630930902254-3,Sterling Silver Slider Bracelet Prong Base Zirconia Inlaid - Gold 2,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,55,,,,https://zecodo.com/wp-content/uploads/2022/12/22420139905_480399264.jpg,,,630930902254,,,,,,1,Color,Gold,,0,Size,2,,0,,,,,,,,,,,,,,,,
42791,variable,633796724803,Sterling Silver Chain Bracelet Heart Zirconia Inlaid,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Bracelet > Chain Bracelet,,,"https://zecodo.com/wp-content/uploads/2022/12/O1CN01yR9S441saChFgldCt_6000000005782-0-cib.jpg, https://zecodo.com/wp-content/uploads/2022/12/O1CN01nsdWjN22WDPBGWkz7_6000000007127-0-cib.jpg, https://zecodo.com/wp-content/uploads/2022/12/O1CN01I4v8AR1DC1XV5P8Fc_6000000000179-0-cib.jpg, https://zecodo.com/wp-content/uploads/2022/12/O1CN01XTVCo21ouZyd5wxs1_3967795285-0-cib.jpg, https://zecodo.com/wp-content/uploads/2022/12/O1CN01hzRNEz1u08k6UHLaD_6000000005974-0-cib.jpg",,,,,,,,,0,Color,Gold,1,0,,,,,Material,Silver,1,0,Technology,"Electroplate, Gem Inlaid",1,0,,,,,,,,
42854,variation,633796724803-1,Sterling Silver Chain Bracelet Heart Zirconia Inlaid - Gold,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,25,,,,https://zecodo.com/wp-content/uploads/2022/12/O1CN01yR9S441saChFgldCt_6000000005782-0-cib.jpg,,,633796724803,,,,,,1,Color,Gold,,0,,,,,,,,,,,,,,,,,,,,
56938,variable,635748233235,Sterling Silver Cuff Bracelet Hollowed Eye Deco Zirconia Paved,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Bracelet > Cuff Bracelet,,,"https://zecodo.com/wp-content/uploads/2022/12/O1CN01x250mD2HXKcF2KRzj_2098809160-0-cib.jpg, https://zecodo.com/wp-content/uploads/2022/12/O1CN01WNS9Dq2HXKc5RcO5K_2098809160-0-cib.jpg, https://zecodo.com/wp-content/uploads/2022/12/O1CN01z4k2vc2HXKcFTnBUn_2098809160-0-cib.jpg, https://zecodo.com/wp-content/uploads/2022/12/O1CN01xA9esL2HXKc8zTm14_2098809160-0-cib.jpg, https://zecodo.com/wp-content/uploads/2022/12/O1CN01fiO0NM2HXKcCB0qSH_2098809160-0-cib.jpg",,,,,,,,,0,Color,Silver,1,0,Size,"57, 60",1,0,Material,Alloy,1,0,Technology,"Electroplate, Gem Inlaid",,,,,,,,,,
57020,variation,635748233235-1,Sterling Silver Cuff Bracelet Hollowed Eye Deco Zirconia Paved - 57,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,22,,,,https://zecodo.com/wp-content/uploads/2022/12/O1CN01x250mD2HXKcF2KRzj_2098809160-0-cib.jpg,,,635748233235,,,,,,1,Color,Silver,,0,Size,57,,0,,,,,,,,,,,,,,,,
57021,variation,635748233235-2,Sterling Silver Cuff Bracelet Hollowed Eye Deco Zirconia Paved - 60,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,22,,,,https://zecodo.com/wp-content/uploads/2022/12/O1CN01x250mD2HXKcF2KRzj_2098809160-0-cib.jpg,,,635748233235,,,,,,1,Color,Silver,,0,Size,60,,0,,,,,,,,,,,,,,,,
42868,variable,637846007464,Woven Rope Bracelet Sterling Silver Hearts,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Bracelet > Slider Bracelet,,,"https://zecodo.com/wp-content/uploads/2022/12/23258002520_480399264.jpg, https://zecodo.com/wp-content/uploads/2022/12/23172111852_480399264.jpg, https://zecodo.com/wp-content/uploads/2022/12/23172132072_480399264.jpg, https://zecodo.com/wp-content/uploads/2022/12/23355182808_480399264.jpg, https://zecodo.com/wp-content/uploads/2022/12/23257993585_480399264.jpg",,,,,,,,,0,Color,"Blue, Pink, Light Red",1,0,,,,,Material,Silver,1,0,Technology,Electroplate,1,0,,,,,,,,
42927,variation,637846007464-1,Woven Rope Bracelet Sterling Silver Hearts - Light Red,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,16,,,,https://zecodo.com/wp-content/uploads/2022/12/23172132072_480399264.jpg,,,637846007464,,,,,,1,Color,Light Red,,0,,,,,,,,,,,,,,,,,,,,
42928,variation,637846007464-2,Woven Rope Bracelet Sterling Silver Hearts - Pink,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,16,,,,https://zecodo.com/wp-content/uploads/2022/12/23172111852_480399264.jpg,,,637846007464,,,,,,1,Color,Pink,,0,,,,,,,,,,,,,,,,,,,,
